text,k
"South Korea, please, you're too much!

(but, go on)",1.000229111239127
For all the data lovers out there 📊,1.0330737126552065
"2 identical chips, both capable of 36 trillion operations per second.

(don't eat them)

https://t.co/e4lcwR4fwB",1.0047647105188011
Your Tesla comes with batteries included.,0.9694797111392459
Where will Model 3 show up next?,1.0
"Also available? Our new, more-efficient, longer-range Model S and Model X.",1.0
(it’s true ☝️),0.9935785664900312
"We pride ourselves on our clean, minimal interior aesthetic.

Send us pictures of how you've ruined it.",1.0
"Now there’s a 🥝 with good taste.

Model 3 has arrived in New Zealand 🇳🇿",1.0028465042801364
"We know Switzerland is supposed to be neutral and all, but they're making a *pretty* aggressive play for most epic Tesla charging location",1.0
The hills are alive with the sound...completely opposite to combustion engines,0.9987436846423469
"Tesla Insurance launches today in California to offer better rates for Tesla owners.

https://t.co/rDjbEvBxzY",1.0
We're making some updates to Tesla Insurance and will be back online shortly.,1.0
Algorithm update in progress,1.0266259804441678
"Voilà, we’ve unlocked even more power in our European Superchargers.
 
C’est très speedy.",1.0318803352248094
"Customer: There’s a dent on the front-ish-side-quarter-half panel, under the second fold.
 
Tesla: 
 
Tesla: you can now send us a photo through your Tesla mobile app when scheduling service
 
Customer: cool, I didn’t know that

Tesla: blame our social media team https://t.co/fkIXOCMvg3",1.0
in fairness to ourselves we literally only rolled this feature out 5 minutes ago,0.987531907804548
Tell us about *that moment* when you knew you needed a Tesla,0.9966153683161639
"can we all just agree that pumping out carbon monoxide, carbon dioxide, particulate matter, nitrogen oxide and sulphur dioxide from cars on all the streets around the world is maybe a bad idea",1.0100766087676605
Model 3 has landed in Hong Kong (who's excited) https://t.co/rYLQmygZB8,1.0056848339644084
🍁 brb putting our epic panoramic glass roof to work in the Canadian wilderness 🍁,1.0
(Reminder: your Tesla is also kind of the world’s greatest tent.),1.0157044141938205
"Aurora Borealis ✅
Blue Lagoon ✅
Sustainable energy ✅
Reykjavík service center ✅
Tesla vehicle orders open for Iceland NOW 🙌",1.0098529927130622
"You can now get 2k miles of free Supercharging for you *and* a friend via our referral program.

...great news for those of you who love posting your referral code in our Twitter replies (RIP my mentions)",1.0
Also great news if you want to power your commute with the sun instead of toxic &amp; polluting gas: solar panels are now an eligible product for referral benefits too,1.0388985976178184
"Just to be 100% clear, Powerwall would still work great in the world's ugliest home too https://t.co/N5Zuk6Lv3T",1.0
"*~ Some personal news ~*

We lapped Laguna Seca @WeatherTechRcwy in 1:36.555 during advanced R&amp;D testing of our Model S Plaid powertrain and chassis prototype

(That’s a second faster than the record for a four-door sedan) https://t.co/OriccK4KCZ",0.9971433243480387
"The next time a badger hails down your Tesla, do the right thing and leave them on the road because badgers are wild animals and will definitely rip up your seats.
https://t.co/Yb5jz1Tvzc",0.9931932116511112
You can't actually marry your Tesla (sorry) but this is the next best thing:,0.9968290585969205
"Plans for tonight:
• playing The Sims
• naming a character Internal Combustion Engine
• making them go for a swim
• deleting the swimming pool ladder",1.0025243422703263
"We installed a Supercharger at Nürburgring. Makes it feel like home, you know? https://t.co/x1tPjI7bi0",1.0084136881402401
"Data from our track tests indicates that Model S Plaid can achieve 7:20 at the Nürburgring. 

With some improvements, 7:05 may be possible when Model S returns next month.",1.0
"Until then, auf Wiedersehen Germany 👋

Here’s some of our initial Model S Plaid data to keep you buzzing until we return: https://t.co/cWk9EModcM",1.0
"Model 3 has earned the IIHS 2019 Top Safety Pick+ Award, earning top scores across all eight tests covering crashworthiness, occupant protection, crash avoidance, and headlight systems.",0.988855020479604
"“What do you think of electric cars?”

*excited screaming*",1.0
Anyone riding a UFO out of Area 51 today can recharge at our nearby Supercharger in Beatty. One day only. https://t.co/3mKU0UGWBr,0.9879288568453578
RT @@Tesla @elonmusk Thank you for an amazing experience in our #Model3Au We are loving being part of the revolution..This is without a doubt one of the best experiences of our adult lives. #electricdreams #zerocarbon #abetterfutureformydaughter https://t.co/9lUdKQmxC9,1.0
Wonder how many Bargersville residents are going to get themselves arrested just so they can have a test ride,1.0
"To be clear: don't break the law to get a test drive. 

Just schedule one with us instead: https://t.co/r2r9pe6Zso",0.9657128496865199
Powerwall is all fun and games until the whole neighbourhood crowds into your garage’s sports bar because you’re the only one with electricity.,1.0
does she ever ask you what you're thinking and you say 'nothing' but you're actually thinking about whether Tesla secretly employs thousands of tiny hamsters to power their cars and it's not batteries at all,0.9753190062407151
RT @Nnedi: One of the highlights of my day is hitting the accelerator while driving my @Tesla. 🚀 https://t.co/f5wdbAbQGl,1.0
"Do you ever dream of a day when it’s not ‘electric vehicle’, it’s just ‘vehicle’",1.0440365305271668
"Software Version 10.0: Your brand new Tesla is here.

Buckle up, we have a lot to get through ⬇️",1.0
"@hulu @netflix @Spotify Before V10: 
I love waking my kids up with my Tesla’s chimes, it’s great. It’s the best when they’re awake and crying.

After V10: 
Quieter chimes in Joe Mode keeps my spawn in a peaceful slumber. Life is good.",1.0
"@hulu @netflix @Spotify Basically, Version 10.0 is so good you’re going to want to name your children after it. Especially if it’s your tenth child.

The update is rolling out over the next week and you can try it in one of our stores.

See what else is packed into the update: https://t.co/4HvNK8tHxD",1.0234774735405863
"When a child turns 7 they:
• Scream
• May or may not poop themselves
 
When our Supercharger network turns 7 it:
• Churns out as much energy in 1 day as eating 147k gallons of maple syrup (2.25GWh)
• Will be coming to Saskatchewan and Manitoba soon 🇨🇦
https://t.co/FqARLqL35g",1.0
"147,730.9 gallons of maple syrup to be exact. But, also, it is an inexact science unless we have a volunteer who loves maple syrup.

(We also apologize to 7-year-olds everywhere for this tweet)",0.9990502441406567
"let's all take a moment and think of our friends and family who can't watch videos, sing karaoke and play videogames with their car",0.9557377559257322
"has anyone found the Easter Egg in your Tesla which releases Cthulhu, our dark lord?",1.0
It's in our V  .̷̛͙̪̀͑̐͌̍͛̑͆͗͐̀͆̿͗͘̕͠͠.̶̨̢̧̧̛̫̱̯̠̮͇̤̠̫̯̺̪̭̻͇͚̅̎͂̀̀̔̃̃́̈́̈́̒͋̏̓̓̓̓̀̆̄͋̎̈̏͠ͅ  update,0.9960206368574964
"Czech (…) it out - orders for Tesla vehicles in the Czech Republic are now open!
https://t.co/GHk5BIOsip",1.0
(this is the worst tweet we have ever done),1.009675137291747
Caraoke is all fun and games until you alienate your children by knowing every single word to Let It Go.,1.008582892348511
RT @elonmusk: Get Tesla Solar plus Powerwall battery for 24/7 clean power &amp; no more blackouts! https://t.co/mDoPO17YB9,1.021253434746281
"Do you want a sneak peek of our crash lab?

Of course you do. 

It’s one of the reasons why Model 3 is among the safest cars on the road.
https://t.co/jQxWizz0ea",1.0030062409353173
yesterday we almost tweeted that we have a great rash lab instead of crash lab and we all had a good laugh as we all had a good scratch,1.014174107692392
"One of us, One of us.

Become a Production Associate: https://t.co/eatwqqWhdC",0.9869963568284306
"Solar Roof uses durable glass solar tiles to generate electricity.
 
Our latest version only takes a few days to set up and is comparable to the cost of a composition shingle roof + electrical bill.
 
Installations begin next month.
https://t.co/27tB768e9e",1.0
Submit questions for our Solar Roof Q&amp;A ahead of our 2pm launch:,1.0
"Join us at 2pm PT today to learn all about our V3 Solar Roof product. 

Visit https://t.co/rd0ILdpzRL to listen in.",1.0469761362297665
"We were very honored to accept one of Europe's most prestigious awards yesterday, Das Goldene Lenkrad (the Golden Steering Wheel), with Model 3 scoring the highest of all tested cars 🏆",0.991941342644087
"Cybertruck Unveil starts at 8

Stay tuned for livestream https://t.co/zrbsoKKLd7",0.949051253104174
RT @The MotorTrend team visited @Tesla twice during the development of #Cybertruck. Six exclusive stories and five videos at https://t.co/QekmkjBSJi https://t.co/8HBnsspbtg,1.0
"More utility than a pick-up
Better performance than a sports car

https://t.co/28RWdWLYMi",1.0
"Cybertruck Unveil livestream starts at 8pm 
https://t.co/BhTBgNqeWQ https://t.co/qzKnsIkkms",1.0110813638018388
Model X just earned 5 stars from Euro NCAP in safety testing,0.9886997738581371
Just in case you make your roofing decisions based on slo mo videos https://t.co/6bggrC7yxu,1.0077955828541614
Enjoy charging your car with the sun,1.034207126939121
"Trans-Canada Supercharger route from Vancouver to Halifax is now open! 🇨🇦⚡
Over half the locations are V3 for the fastest charging speeds.",1.0180651988734974
"What a way to close out 2019, and this is only just the beginning. 
Congratulations to the Shanghai team!",0.9760992707680077
"We just delivered our first customer cars from Gigafactory Shanghai, marking only one year from when the teams broke ground on the site. https://t.co/UfUxEyRQv0",1.038024214673088
"Model 3 recently earned the 2020 IIHS Top Safety Pick+ Award. Winning cars are selected on their ability to protect people inside and outside the car 
👍🏻🚘",0.9569528966207506
Art of the Roof,0.962142109389294
Track Mode V2 for Model 3 Performance introduces more advanced handling customization and lap data recording.,0.9767543533043591
"Model Y deliveries begin!

https://t.co/ZhuiM5MTOf https://t.co/3gX6MBPmhp",0.9514963428319951
"Tesla wins 5/6 Kelley Blue Book awards

🏆 Best Overall
🏆 Best Value
🏆 Most Refined
🏆 Best Performance
🏆 Best Styling",1.0934022935568926
https://t.co/MROOCn4w9f,1.072447251087062
"Tesla Q2 2020 Vehicle Production &amp; Deliveries | Tesla, Inc. https://t.co/hgJDXLWmBg",1.0897602610270543
https://t.co/jmkacbRb5D,1.0002161996082157
Looking up in Model Y https://t.co/iAfpJ491Zz,0.9905516291764229
Live roof &gt; Dead roof https://t.co/scCQ1UXUJb,0.9709780776592642
"RT @In Tesla’s Q2 earnings call they dropped the little bombshell that Tesla's solar panels cost $1.49 per watt after incentives.  I found it can be even lower than that.  This is big news.  

https://t.co/3ZQU6fMVjR",1.0593962060370008
"Big updates in 🇨🇦 

– Trans-Canada Supercharging ✅ 
– Model Y deliveries ✅ 
– Leasing for Model Y &amp; Model 3 🎯
https://t.co/gyFBEIsjSP",0.9887614804243062
Aka 162 hours of uninterrupted wifi,1.0601240942228656
Tesla Battery Day starts now!,0.9199957688639534
In-car footage from Sunday’s Plaid Model S run at Laguna Seca https://t.co/rwQDBFCWoH,1.0
The only thing beyond Ludicrous is Plaid,0.956805720717303
"There's no place like home..especially if it has a Solar Roof.

This Kansas ranch got theirs installed in 4 days.",0.9809419668545127
"Order solar panels before the solar tax credit drops at the end of this year. Pair with Powerwall to experience no more blackouts!
https://t.co/gvX4KnG2ca",0.9918783988848223
The 7-seater option is now available for order on Model Y https://t.co/XLu84G3GJc,1.0
"Model Y Standard Range is now available to order for $41,990
 
- 244 mile range (EPA est.)
- Rear-wheel drive
- 0-60mph in 5.3s
- Premium interior
- Autopilot
- Towing capacity of 3,500 lbs.

https://t.co/dU9HoFqQIc",0.9565500268748476
"Model Y awarded 5-star safety rating in every category!
https://t.co/dgbQWofpjf",0.9889993210112872
"The best crash is no crash — with Autopilot enabled, you are 7x less likely to be involved in an accident.

Comes standard with every Tesla, at no additional cost. https://t.co/C7no6bBwGc",1.0
"Large crumple zones, rigid body structure &amp; low center of gravity really make a difference https://t.co/Gmwoh7a1gz",0.9939409667893794
RT @elonmusk: Plaid Model S ships next month https://t.co/HFUPTnQiPB,1.0
"New Model S &amp; Model X just launched

Details https://t.co/7Ol1BvJoj8",1.0
Plaid Model S is the first production car to achieve 0-60 in under 2 seconds,1.0
"Plaid Model X has the quickest acceleration of any SUV by far, at 2.5 seconds 0-60",0.9807300858159986
Proud to have scored 100/100 in LGBTQ equality for the 6th year in a row 🏳️‍🌈 https://t.co/zz3PeKRRSL,1.038310842370944
World’s biggest die casting machine https://t.co/MegnFPKQfh,1.0
It can cast front &amp; rear vehicle underbodies in a single piece each — down from 70+ parts for same sections previously,1.0211286086619593
RT @elonmusk: Happy New Year of the Ox! https://t.co/9WFKMYu2oj,0.9980462018137221
Winter at Giga Texas https://t.co/eqL8lPICKe,0.9770910582240838
"Two years ago, we launched Dog Mode. Send us your best pics! https://t.co/iXVazZJP3B",1.0051138953819598
Plaid winter testing https://t.co/Zau1dWZD2U,0.9370932276123705
"RT @elonmusk: @AustinTeslaClub The Tesla Solar Roof is slightly hydrophobic, so water, snow or ice slide off easily",0.9213547925327817
"Use Tesla phone app to melt snow &amp; ice off your car before even leaving the house

📸 by @cookie_esq https://t.co/P3r8JUOvpv",0.9972879775922191
"Game on 🎮

📸 by @FromWhereICHG https://t.co/wa4m9gjDMh",1.1015942631202962
"Backseat views from Model Y

📸 by loghi007 on Instagram https://t.co/4ss4Hns7fn",0.9843866577623251
RT @Fogdo: Thank you @Tesla for this helpful and cool feature :-) https://t.co/FLuY3yFdSL,0.9702899256580962
"6,000+ Superchargers across Europe — at 600 locations and counting!

📸 by @EPavlic, @MinimalDuck &amp; @_better_e https://t.co/Yf36HRO9MC",1.0057364447876866
Model 3 deliveries in Europe https://t.co/fiBNp2a6pG,1.0360264612713286
Tesla seats factory https://t.co/X4PLPjuuj4,0.9879607462651252
Cybertruck at Giga Texas https://t.co/c1RuektPnN,0.976709831926169
RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility,0.9917943452893112
Your Tesla will continue to improve long after you bought it,0.9897182305145413
RT @TeslaCharging: 25k Superchargers around the world  — and counting https://t.co/UzyFergQJ3,0.9669473676288631
Configurator now live in Hungary 🇭🇺 &amp; Romania 🇷🇴,0.982295551640631
"RT @GMP’s pioneering network of Tesla Powerwall batteries in customers’ homes delivers groundbreaking first-in-New-England benefit for #VT customers &amp; grid, cutting carbon and costs! https://t.co/xmHTCDh9bm https://t.co/82MGFCAc0n",0.9943507869945515
Just surpassed 200k Powerwall installs globally 🔋🏡☀️,1.0
"If you want to help cover Giga Berlin in awesome graffiti art, send us your work at GigaBerlinArt@Tesla.com",1.0198909582896165
"Model S Plaid delivery event at our Fremont factory will be streamed live on June 10, 7pm Pacific https://t.co/V7c77ySFti",1.0
"RT @jaminwestby: My car makes family road trips fun for families. 
@tesla #model3 #flex #roadtrip https://t.co/ieVxC9qx9j",1.0247627054789792
RT @Orangetilt: Little guy has a new favourite game &amp; fun area. Truly amazing what this car offers! https://t.co/PRxS13HOW0,0.9790885300606229
Presentation starts at 8:15pm Pacific https://t.co/tGZJUMralo https://t.co/xw1s6ATqus,1.005041169506982
RT @Model S Plaid launch arguably felt even more intense from the backseat when I got a second test ride. I just laughed; I couldn’t help it. 😂 It’s just too much fun. @elonmusk @Tesla https://t.co/eblC44qsab,1.0
RT @I just went 0-60 MPH in about 2 seconds and 0-100 MPH in about 4 seconds with 4 people in the car 🤯 @Tesla just broke the laws of physics my friends 😂 I’m sorry but that’s truly alien. Thanks for the fun @elonmusk https://t.co/2J95Ot9TO9,1.0
RT @elonmusk: Plaid release event https://t.co/TxIHXnuw9A,1.0
"RT @elonmusk: Most amount of fun on 4 wheels!
Pure joy on tap whenever u want.",1.0
RT @elonmusk: Order Tesla Model S Plaid at https://t.co/LuUhICqQEI,1.0080319868801326
https://t.co/k1h6oQsE47,0.9887833315226815
https://t.co/v9mFAeSY1v,1.0133731819949154
"RT @elonmusk: @Tesla Peak acceleration is over 1.2 g’s, which is 20% faster than falling",1.0
Experiencing Plaid https://t.co/nipaxKbkjY,1.0069783529843235
"RT @elonmusk: @marcodzo @Tesla Sometimes people think it is performance, but safety is always the primary design requirement for a Tesla",0.999199396906574
"All Model X can dance

📸 @thechristina99 @michellehellman https://t.co/Qjh8qLJzwK",1.0
"To activate, tap Software → long press model name → type holidays or ModelXMas",1.0
"Production &amp; deliveries in Q2 surpassed 200,000 vehicles https://t.co/xyLOa0JHX7",0.9877824281492769
"You can stream Netflix &amp; YouTube, play video games or sing Caraoke in your Tesla 📺🎮🎤",0.9758665314582027
RT @elonmusk: Solar + Powerwall battery ensures that your home never loses power,1.0
"RT @elonmusk: Tesla Solar Roof + Powerwall in major new housing development in Austin
https://t.co/u7NJAswFW2",1.0288291913268193
"RT @elonmusk: Review of Model S Plaid by Dan Neil
https://t.co/JY45vn8jNN",0.9885660892438829
RT @What it feels like to ride in a @Tesla Model S Plaid. Thanks @MKBHD for making all the blood in my body rush straight into my face. https://t.co/o0Y3kCxQcr,0.9824543547354381
Music video filmed using Tesla Sentry Mode https://t.co/g7ZYub2NH5,0.9891452502635978
Giga Texas: 6 months ago vs this week https://t.co/CAgmIJ3wKQ,1.0
RT @elonmusk: Tesla AI Day August 19th,1.0239763524989258
"In 2020, Tesla customers helped accelerate the world’s transition to sustainable energy by avoiding 5.0 million metric tons of CO2e emissions

Impact Report → https://t.co/wZwv00DyWp",1.0
"25,000+ Superchargers across the globe enable freedom of travel on long-distance trips https://t.co/1JfZ5eFqnU",1.0
"In 2020, a Tesla with Autopilot engaged experienced 0.2 accidents per million miles driven, while the US average was 9x higher https://t.co/4Zu5sMLyeQ",1.0
"And eventually, they get recycled — and brand-new batteries are built from recycled metals https://t.co/RbDZ8xH2gD",1.0000351376613523
Tesla AI Day presentation streaming live from https://t.co/shRnZSwgd4 at 5pm Pacific today,1.0084561039404731
Join us to build the future of AI → https://t.co/Gdd4MNet6q https://t.co/86cXMVnJ59,1.0210034444692506
"RT @Tesla Model S Plaid just set official world speed record for a production electric car at Nurburgring. Completely unmodified, directly from factory. https://t.co/AaiFtfW5Ht",0.991778664389427
Model S Plaid sets official Nürburgring EV world record!,0.9915366953182467
Model Y arrives in Europe https://t.co/nh1noiyMeR,0.96577303186882
Solar Roof powers Buffalo Heritage Carousel in NY 🌞 https://t.co/cxFFwmuQ2e,1.0064448754848618
"RT @elonmusk: With https://t.co/45B5nUBaxb &amp; Powerwall battery you are your own utility. 

24/7 clean, sustainable electricity.",1.0
"Solar Roof generating clean energy in Aspen, CO 🏔

📸 @weddleandsons https://t.co/5Ar8ndjoXF",1.0157116748383028
"NYC as seen through Model Y glass roof

📸: @Virus_City_ https://t.co/qY8TODtIQC",0.991989984391078
Tesla Shareholder Meeting https://t.co/uEv7dE43dC,1.0016654436985524
RT @elonmusk: Please consider joining Tesla AI software or hardware teams! https://t.co/HgigdtenKN,0.9986660400693872
Safety will continue to improve via over-the-air updates https://t.co/HvXQEboAUs,1.0075606733421223
Dojo whitepaper https://t.co/4PgUGuXE0a,1.016837051703601
Talk through your Tesla using the Tesla app,1.0
RT @Select Superchargers in the Netherlands are now open to all electric cars. https://t.co/DwPxc1vcF4 https://t.co/BveSRZUsC3,0.9905548498162733
RT @TeslaCharging: 30k Superchargers around the world — and counting https://t.co/Yw7m3cJ6HA,0.9605960369297807
RT @TeslaSolar: 250k Powerwall installs globally ☀️🔋⚡️,1.0234190786388375
"RT @TeslaSolar: New Solar Roof tiles can deliver a 22% increase in power, resulting in more energy offset https://t.co/pxxPPgeB8s",1.0
"RT @elonmusk: Blow the whistle on Tesla!
https://t.co/c86hLA0iQK",0.9680631249147921
Cyberquad for Kids 😎,1.0
https://t.co/XQvbytjrJ2,0.9615782979524464
"In Camp Mode, your Tesla will maintain airflow, temperature, interior lighting, as well as play music &amp; power devices",0.9574998956833577
"RT @As always, Tesla is looking for hardcore AI engineers who care about solving problems that directly affect people’s lives in a major way.
https://t.co/0B5toOOHcj",1.0424915210398429
"Tesla stability control systems measure your steering &amp; pedal inputs against each wheel’s available grip, adjusting torque to give you the best traction",1.0122712415702646
https://t.co/ouYW1FFNCD,1.0502752498442884
"When you discover the megaphone… 📢 

🎥: @HayleyyMiller https://t.co/2AvhGlgCiR",0.9583536395117209
"Plaid Track Mode now rolling out in North America
https://t.co/1PR60pNb8H",0.9766481940412456
"Drive anywhere in the US using the Supercharger network, now in all 50 states https://t.co/SptUN4ipRK",1.0291284861463836
"Solar Roof keeps snow &amp; ice off your roof

📸: @Xenius101 https://t.co/Xfj9XGRUX1",0.9796619914256592
RT @elonmusk: Tesla merch buyable with Dogecoin,0.9940226989063033
Graffiti art at Giga Berlin https://t.co/aOj4kZNcbU,0.9456355863923224
2021 was a breakthrough year for EVs. Thank you to Tesla employees &amp; owners! https://t.co/DOAtk54J5v,1.0
Giga Shanghai continues to be our main export hub https://t.co/a9QB3oCmvv,1.0
We started equipment testing at Giga Berlin through the vehicle production process in late 2021 https://t.co/lIcDY8BPJB,1.0783831640444514
RT @Non-Tesla vehicles can now charge at select Superchargers in France and Norway via the Tesla app. Learn more at https://t.co/9t43ifJugM https://t.co/CC4fpaNPaw,1.0315182302998411
View a breakdown of your charging history and gas savings in the Tesla app,0.9669000499889593
RT @Non-Tesla vehicles can now charge at all Superchargers in the Netherlands via the Tesla app.  Learn more at https://t.co/hjybH0ROdl https://t.co/zjomySylf9,0.9739692743464989
You can now customize how your Tesla appears on the screen and app with the Car Colorizer https://t.co/BvnrCxEw2O,0.9739440416212682
Celebrating our one millionth 4680 cell in January https://t.co/d19IPFu18u,0.9499018541348115
First Model Y deliveries in the UK https://t.co/BRs4mmmOGL,0.9630419268243887
🎨 at Giga Berlin https://t.co/ojIvG9cg4F,0.9948776933184695
"RT @Solar Roof lets you become your own renewable energy utility. Generate clean energy and drive on solar.
📸: @bethlyp on IG https://t.co/BD7HNLgdAF",0.9679242780459387
First Model Y deliveries at Giga Berlin https://t.co/JCneGrBJRA,1.0286229944793697
Come join the Giga Berlin team! https://t.co/p1PVbG8c6x https://t.co/AyBsX36lNN,1.0685114362908825
Tesla will ask shareholders to vote at this year’s annual meeting to authorize additional shares in order to enable a stock split.,1.0234684588015655
Flying Through Giga Berlin,1.031901376989926
Cyber Rodeo livestream will start at 9 pm CT on April 7,1.0
RT @elonmusk: https://t.co/wvJ66Yr1Wj,1.0
RT @elonmusk: Preparing … https://t.co/Rb21R1ZDhN,1.0
RT @elonmusk: https://t.co/ft2zujMvkK,1.0
RT @elonmusk: I will give a talk around 9,1.0
